Time (min),Mean Intensity (A.U.),Protein Concentration (ng per µL),Protein Concentration (nM),Number of Protein Molecules,Rate of Change of Number of Protein Molecules (PM per min)
0.0,0.0,0.0,0.0,0.0,96799113.41742200
3.0,0.518718957901001,0.018924226673106000,0.24199778354355700,290397340.25226600,73426247.35066470
6.0,0.7869408130645750,0.028709662714109900,0.3671312367533270,440557484.10398800,28494710.255775000
9.0,0.8241090774536130,0.030065658383114000,0.3844713348224290,461365601.78691600,23289177.110810800
12.0,1.0365409851074200,0.03781573096443690,0.4835771223073810,580292546.768853,34087299.260522200
15.0,1.1894373893737800,0.043393792393978200,0.554907831125039,665889397.3500500,25587731.43646710
18.0,1.3107757568359400,0.047820533956095500,0.6115157794897140,733818935.3876550,23871218.004848700
21.0,1.4452755451202400,0.05272743863387410,0.6742639211492830,809116705.3791420,16268848.288782400
24.0,1.4851360321044900,0.05418165363700940,0.692860020933626,831432025.1203490,7656182.471099280
27.0,1.5273301601409900,0.0557210059800739,0.7125448335047830,855053800.2057380,8878815.384121740
30.0,1.580294132232670,0.05765327045220100,0.7372540978542330,884704917.4250800,19765765.28531890
33.0,1.739168405532840,0.06344942020663360,0.8113736599313770,973648391.9176510,19541059.7712276
36.0,1.7897241115570100,0.06529382482275100,0.8349593967103740,1001951276.0524500,15893004.346542700
39.0,1.9095005989074700,0.06966358490613180,0.8908386816640890,1069006417.9969100,8221205.276008960
42.0,1.8778343200683600,0.06850831608567050,0.8760654230904170,1051278507.7085000,19119500.56995810
45.0,2.114412546157840,0.07713930962898540,0.9864361845138810,1183723421.4166600,22189942.02836610
48.0,2.1156535148620600,0.07718458341876170,0.9870151332322510,1184418159.8787000,15225517.072976200
51.0,2.2775909900665300,0.08309248680451910,1.0625637698787600,1275076523.854510,24141149.36887000
54.0,2.374384641647340,0.08662377282198990,1.1077208800766000,1329265056.0919200,13804895.933499600
57.0,2.425544023513790,0.08849020111451740,1.1315882495462600,1357905899.4555100,28319145.86440750
60.0,2.6778931617736800,0.09769655885497320,1.2493166093986300,1499179931.278360,23737742.79600350
63.0,2.6799516677856400,0.09777165854775480,1.2502769635262800,1500332356.2315300,17250402.72876240
66.0,2.8627731800079300,0.10444146632191900,1.3355686230424500,1602682347.6509400,33060407.741271500
69.0,3.0342743396759000,0.11069827797459200,1.4155790022326400,1698694802.6791600,26738465.703657900
72.0,3.149340867996220,0.11489620641205000,1.4692609515607300,1763113141.8728800,17782457.157087500
75.0,3.2248566150665300,0.1176512187230130,1.5044912880180700,1805389545.621690,20760556.016842300
78.0,3.371840715408330,0.1230135838146350,1.5730637316449500,1887676477.973940,35275428.83205810
81.0,3.6029186248779300,0.13144391139634800,1.6808684321783600,2017042118.6140300,43538100.40628200
84.0,3.8384573459625200,0.14003698107349100,1.7907542336763600,2148905080.411630,28010818.131975300
87.0,3.903122663497930,0.14239614128595000,1.8209225228382400,2185107027.405890,36770907.31782790
90.0,4.232547044754030,0.15441440583476200,1.9746087702655000,2369530524.3186000,43905223.968210100
93.0,4.373673915863040,0.15956308385752000,2.0404486426792900,2448538371.2151500,14894743.259589100
96.0,4.392180442810060,0.1602382504492610,2.0490824865634400,2458898983.876130,26246743.034272000
99.0,4.654971599578860,0.16982556038392100,2.1716823578506500,2606018829.4207800,37295954.29768940
102.0,4.791897296905520,0.1748209685796580,2.2355622580518900,2682674709.6622700,12971765.925756100
105.0,4.79399561882019,0.1748975208608910,2.236541187479430,2683849424.975320,31914278.36878550
108.0,5.133936405181890,0.1872994514218530,2.3951336498958200,2874160379.8749800,34622112.17649710
111.0,5.165055751800540,0.18843476672190200,2.4096517483619200,2891582098.034300,27087414.39131550
114.0,5.424243927001950,0.19789063044885700,2.5305707218524000,3036684866.222870,41900915.740454100
117.0,5.614125967025760,0.2048180247764190,2.6191563270641900,3142987592.4770200,52837918.844969100
120.0,5.990530729293820,0.21855025671724000,2.794760316077240,3353712379.292690,53484228.05206550
123.0,6.187339544296270,0.22573035794477700,2.886577467324510,3463892960.789420,32364801.690374500
126.0,6.337398290634160,0.23120489417817700,2.956584324529110,3547901189.434940,25270972.520008800
129.0,6.458179473876950,0.23561130820010000,3.0129323299245600,3615518795.9094700,44921570.94596220
132.0,6.818842172622680,0.24876922841804800,3.181192179258930,3817430615.110710,61427649.172599300
135.0,7.116526126861570,0.2596295190265870,3.320070575787550,3984084690.9450600,46883144.86102050
138.0,7.3213090896606400,0.2671005380587070,3.4156079035640300,4098729484.276830,40610054.74984390
141.0,7.551761627197270,0.2755080504337760,3.5231208495367800,4227745019.444130,51214593.354993100
144.0,7.870198011398320,0.2871254440605090,3.6716808703389900,4406017044.40679,48276937.48351810
147.0,8.069166421890260,0.29438433298983100,3.7645055369543600,4517406644.345240,43441486.60094560
150.0,8.335779190063480,0.3041110653214790,3.888888303343720,4666665964.012460,51954134.99546860
