Time (min),Mean Intensity (A.U.),Protein Concentration (ng per µL),Protein Concentration (nM),Number of Protein Molecules,Rate of Change of Number of Protein Molecules (PM per min)
0.0,0.0,0.0,0.0,0.0,272010410.6699390
0.5,0.30351686477661100,0.011073090467688800,0.11333767111247900,136005205.3349700,242531159.9274730
1.0,0.5412461757659910,0.019746078604095100,0.20210929993956100,242531159.9274730,-16127997.197089800
1.5,0.26752471923828100,0.009760002695892390,0.09989767344823620,119877208.13788000,-101013491.85767100
2.0,0.31581878662109400,0.011521896808683000,0.1179313900581710,141517668.06980100,111288330.09795900
2.5,0.5158820152282720,0.01882072757136790,0.1926379485298680,231165538.23583900,58666842.44260810
3.0,0.4467430114746090,0.01629835556421870,0.1668204254270090,200184510.51240900,25842593.67255050
3.5,0.5735538005828860,0.020924745406208000,0.2141734432569930,257008131.90838900,17692058.87463390
4.0,0.48622560501098600,0.017738784024261800,0.18156380782253800,217876569.3870430,18412125.52126210
4.5,0.6146433353424070,0.02242379929239750,0.2295168811913800,275420257.4296520,5530197.313961890
5.0,0.4985671043396000,0.0181890342555735,0.1861723055841720,223406766.7010050,-20606619.436454400
5.5,0.5686564445495610,0.020746077026612800,0.21234469832766900,254813637.99319700,30537770.079975800
6.0,0.5667169094085690,0.020675317702918200,0.21162044731748600,253944536.78098100,-25679136.407072500
6.5,0.5113494396209720,0.018655367337470300,0.19094541798844100,229134501.58612500,18715963.732393500
7.0,0.6084845066070560,0.022199109083463900,0.2272170837611470,272660500.5133740,94464517.757027
7.5,0.7221617698669430,0.02634635349152160,0.26966584945262900,323599019.34315200,35415954.52385180
8.0,0.6875207424163820,0.025082558047614200,0.25673037919769100,308076455.0372260,-76104313.95538600
8.5,0.5523231029510500,0.02015019393032060,0.2062455878231400,247494705.3877660,22142690.392721700
9.0,0.7369356155395510,0.026885342090421600,0.2751826211916250,330219145.4299480,46643866.14018880
9.5,0.6564161777496340,0.023947782031901000,0.24511547627329800,294138571.5279540,28705659.854005700
10.0,0.8009967803955080,0.02922246123020190,0.2991040044032970,358924805.2839540,89390184.59457190
10.5,0.8559043407440190,0.03122563289430900,0.31960729676877300,383528756.1225260,54119525.41781460
11.0,0.9217729568481450,0.0336286925913023,0.34420360891814300,413044330.7017680,64710701.54247280
11.5,1.0003163814544700,0.03649416251155870,0.37353288138750100,448239457.6649990,55979840.03469220
12.0,1.0467007160186800,0.03818638456746020,0.39085347561372100,469024170.7364600,50537567.77268730
12.5,1.1130988597869900,0.040608762821051600,0.4156475211980750,498777025.4376860,34253271.24265620
13.0,1.1231422424316400,0.04097517173446640,0.4193978683159370,503277441.97911700,89750538.42232930
13.5,1.3133912086486800,0.047915952490936300,0.4904396365500180,588527563.8600160,141450468.97176800
14.0,1.4388110637664800,0.05249159741658450,0.5372732591257370,644727910.9508840,62210660.05912610
14.5,1.4522240161895800,0.052980937064083500,0.5422818532659510,650738223.9191420,49783634.49000730
15.0,1.5499110221862800,0.056544814991312600,0.5787596212007460,694511545.4408920,70294957.27233760
15.5,1.609098196029660,0.058704118168672900,0.6008609843262360,721033181.1914790,40051196.60059970
16.0,1.639291524887090,0.059805649914544700,0.6121356183679120,734562742.0414910,66209273.479011700
16.5,1.75685453414917,0.06409465651775580,0.6560353788920780,787242454.670491,82287806.15720090
