Time,Mean Intensity,Protein Concentration (ng/µL),Protein Concentration (nM),Number of Protein Molecules (PM),Rate of Change of Number of PM
0.0,0.0,0.0,0.0,0.0,454.181440154544
0.5,0.518718957901001,0.018924226673106004,0.1892422667310587,227.090720077272,344.51595256931887
1.0,0.7869408130645752,0.028709662714109907,0.2870966271410982,344.51595256931887,133.69718052009648
1.5,0.8241090774536133,0.030065658383114036,0.30065658383113814,360.7879005973685,109.27281900392404
2.0,1.0365409851074219,0.03781573096443691,0.3781573096443669,453.7887715732429,159.93760813037017
2.5,1.1894373893737793,0.043393792393978226,0.4339379239397818,520.7255087277387,120.05763589990352
3.0,1.3107757568359375,0.047820533956095534,0.47820533956095623,573.8464074731464,112.00375487875033
3.5,1.4452755451202393,0.05272743863387408,0.527274386338739,632.729263606489,76.33343617096693
4.0,1.4851360321044922,0.05418165363700944,0.541816536370094,650.1798436441134,35.922808154397785
4.5,1.5273301601409912,0.0557210059800739,0.5572100598007381,668.6520717608868,41.65940178229903
5.0,1.580294132232666,0.05765327045220103,0.576532704522009,691.8392454264124,92.74097071871608
5.5,1.739168405532837,0.06344942020663358,0.6344942020663336,761.3930424796029,91.68665244659985
6.0,1.7897241115570068,0.06529382482275103,0.6529382482275068,783.5258978730122,74.56997639397844
6.5,1.9095005989074707,0.06966358490613178,0.696635849061316,835.9630188735813,38.57389515503428
7.0,1.8778343200683594,0.06850831608567054,0.6850831608567063,822.0997930280465,89.7086966742437
7.5,2.114412546157837,0.07713930962898541,0.7713930962898523,925.671715547825,104.11520799709342
8.0,2.1156535148620605,0.07718458341876167,0.7718458341876158,926.2150010251399,71.43812610640407
8.5,2.2775909900665283,0.08309248680451908,0.8309248680451908,997.1098416542291,113.27027283873838
9.0,2.374384641647339,0.08662377282198985,0.8662377282198968,1039.4852738638783,64.7725717199803
9.5,2.425544023513794,0.08849020111451744,0.8849020111451722,1061.8824133742094,132.8734323957999
10.0,2.6778931617736816,0.09769655885497319,0.9769655885497315,1172.3587062596782,111.37748919884848
10.5,2.6799516677856445,0.09777165854775483,0.9777165854775483,1173.2599025730578,80.93888960335335
11.0,2.8627731800079346,0.10444146632191931,1.044414663219193,1253.2975958630316,155.11943312204562
11.5,3.0342743396759033,0.11069827797459197,1.1069827797459197,1328.3793356951035,125.4568810815631
12.0,3.149340867996216,0.11489620641204956,1.148962064120493,1378.7544769445947,83.43528898105501
12.5,3.2248566150665283,0.1176512187230132,1.1765121872301343,1411.8146246761585,97.40852883102389
13.0,3.371840715408325,0.1230135838146349,1.2301358381463494,1476.1630057756186,165.5123120800165
13.5,3.6029186248779297,0.13144391139634792,1.314439113963477,1577.326936756175,204.28076710627533
14.0,3.8384573459625244,0.14003698107349116,1.4003698107349116,1680.443772881894,131.42675867522803
14.5,3.903122663497925,0.14239614128595024,1.423961412859505,1708.753695431403,172.5290971352481
15.0,4.232547044754028,0.15441440583476185,1.5441440583476158,1852.972870017142,206.00331085884136
15.5,4.373673915863037,0.15956308385752038,1.5956308385752038,1914.7570062902444,69.8861353739926
16.0,4.392180442810059,0.1602382504492612,1.6023825044926099,1922.8590053911346,123.14971831680396
16.5,4.654971599578857,0.16982556038392072,1.698255603839204,2037.9067246070483,174.99261756475858
17.0,4.791897296905518,0.1748209685796578,1.7482096857965779,2097.851622955893,60.86352572364808
17.5,4.79399561882019,0.1748975208608914,1.7489752086089112,2098.7702503306964,149.74179410634133
18.0,5.133936405181885,0.1872994514218529,1.8729945142185294,2247.5934170622345,162.4469503321243
18.5,5.165055751800537,0.18843476672190174,1.8843476672190178,2261.2172006628207,127.09414832405218
19.0,5.424243927001953,0.19789063044885724,1.9789063044885715,2374.6875653862867,196.59909665421083
19.5,5.614125967025757,0.2048180247764193,2.0481802477641935,2457.8162973170315,247.9155152205949
20.0,5.990530729293823,0.21855025671724015,2.185502567172403,2622.6030806068816,250.94799802029138
20.5,6.187339544296265,0.22573035794477692,2.2573035794477683,2708.764295337323,151.8556495312373
21.0,6.337398290634155,0.23120489417817658,2.3120489417817645,2774.458730138119,118.57140306388101
21.5,6.458179473876953,0.23561130820010034,2.356113082001002,2827.335698401204,210.77201087845424
22.0,6.818842172622681,0.24876922841804783,2.4876922841804756,2985.230741016573,288.2185299178359
22.5,7.116526126861572,0.2596295190265867,2.5962951902658666,3115.55422831904,219.97571568790818
23.0,7.3213090896606445,0.2671005380587068,2.6710053805870686,3205.2064567044813,190.54237688626836
23.5,7.551761627197266,0.2755080504337757,2.755080504337755,3306.096605205308,240.29887202162809
24.0,7.870198011398315,0.2871254440605091,2.871254440605089,3445.5053287261094,226.5153906726664
24.5,8.069166421890259,0.29438433298983124,2.9438433298983107,3532.6119958779746,203.82745513163718
25.0,8.335779190063477,0.3041110653214789,3.041110653214787,3649.3327838577466,243.76880139873856
