Time (min),Mean Intensity,Protein Concentration (microgram / milliliter),Number of Protein Molecules,Rate of Change of Protein Molecules
0.0,0.0,0.0,18420.488893345686,454.18144015454163
0.5,0.518718957901001,0.018924226673106004,18647.579613422957,344.51595256931614
1.0,0.7869408130645752,0.028709662714109907,18765.004845915002,133.6971805200992
1.5,0.8241090774536133,0.030065658383114036,18781.276793943056,109.272819003927
2.0,1.0365409851074219,0.03781573096443691,18874.27766491893,159.93760813036715
2.5,1.1894373893737793,0.043393792393978226,18941.214402073423,120.05763589990238
3.0,1.3107757568359375,0.047820533956095534,18994.33530081883,112.00375487875135
3.5,1.4452755451202393,0.05272743863387408,19053.218156952174,76.33343617096762
4.0,1.4851360321044922,0.05418165363700944,19070.6687369898,35.92280815439517
4.5,1.5273301601409912,0.0557210059800739,19089.14096510657,41.65940178229721
5.0,1.580294132232666,0.05765327045220103,19112.328138772096,92.74097071871802
5.5,1.739168405532837,0.06344942020663358,19181.881935825288,91.68665244660224
6.0,1.7897241115570068,0.06529382482275103,19204.0147912187,74.56997639398105
6.5,1.9095005989074707,0.06966358490613178,19256.45191221927,38.573895155033824
7.0,1.8778343200683594,0.06850831608567054,19242.588686373732,89.70869667424267
7.5,2.114412546157837,0.07713930962898541,19346.16060889351,104.11520799709251
8.0,2.1156535148620605,0.07718458341876167,19346.703894370825,71.43812610640089
8.5,2.2775909900665283,0.08309248680451908,19417.598734999912,113.27027283874122
9.0,2.374384641647339,0.08662377282198985,19459.974167209566,64.7725717199828
9.5,2.425544023513794,0.08849020111451744,19482.371306719895,132.87343239579786
10.0,2.6778931617736816,0.09769655885497319,19592.847599605364,111.37748919884689
10.5,2.6799516677856445,0.09777165854775483,19593.748795918742,80.93888960335244
11.0,2.8627731800079346,0.10444146632191931,19673.786489208716,155.11943312204676
11.5,3.0342743396759033,0.11069827797459197,19748.86822904079,125.45688108156173
12.0,3.149340867996216,0.11489620641204956,19799.243370290278,83.43528898105433
12.5,3.2248566150665283,0.1176512187230132,19832.303518021843,97.40852883102707
13.0,3.371840715408325,0.1230135838146349,19896.651899121305,165.51231208001627
13.5,3.6029186248779297,0.13144391139634792,19997.81583010186,204.28076710627283
14.0,3.8384573459625244,0.14003698107349116,20100.932666227578,131.42675867522848
14.5,3.903122663497925,0.14239614128595024,20129.242588777088,172.5290971352515
15.0,4.232547044754028,0.15441440583476185,20273.46176336283,206.00331085884318
15.5,4.373673915863037,0.15956308385752038,20335.24589963593,69.88613537398851
16.0,4.392180442810059,0.1602382504492612,20343.347898736818,123.14971831680305
16.5,4.654971599578857,0.16982556038392072,20458.395617952734,174.9926175647597
17.0,4.791897296905518,0.1748209685796578,20518.340516301578,60.86352572364558
17.5,4.79399561882019,0.1748975208608914,20519.25914367638,149.74179410634315
18.0,5.133936405181885,0.1872994514218529,20668.08231040792,162.44695033212702
18.5,5.165055751800537,0.18843476672190174,20681.706094008507,127.0941483240531
19.0,5.424243927001953,0.19789063044885724,20795.176458731974,196.59909665420855
19.5,5.614125967025757,0.2048180247764193,20878.305190662715,247.91551522059308
20.0,5.990530729293823,0.21855025671724015,21043.091973952567,250.9479980202923
20.5,6.187339544296265,0.22573035794477692,21129.253188683007,151.85564953123685
21.0,6.337398290634155,0.23120489417817658,21194.947623483804,118.57140306388101
21.5,6.458179473876953,0.23561130820010034,21247.82459174689,210.77201087845606
22.0,6.818842172622681,0.24876922841804783,21405.71963436226,288.21852991783817
22.5,7.116526126861572,0.2596295190265867,21536.043121664727,219.9757156879059
23.0,7.3213090896606445,0.2671005380587068,21625.695350050166,190.54237688626745
23.5,7.551761627197266,0.2755080504337757,21726.585498550994,240.2988720216308
24.0,7.870198011398315,0.2871254440605091,21865.994222071797,226.5153906726664
24.5,8.069166421890259,0.29438433298983124,21953.10088922366,203.82745513163536
25.0,8.335779190063477,0.3041110653214789,22069.821677203432,243.76880139873901
25.5,8.625981330871582,0.31469839977305947,22196.8696906224,230.70458618314296
26.0,8.862752914428711,0.32333644750340773,22300.526263386575,236.1672929537017
26.5,9.165432929992676,0.33437900751920124,22433.0369835761,256.93394976640775
27.0,9.449639558792114,0.3447476099839415,22557.460213152983,259.4281572142281
27.5,9.75801682472229,0.355998020620387,22692.46514079033,239.5260601726295
28.0,9.996763229370117,0.36470811499832734,22796.986273325612,280.5283005014826
28.5,10.398797512054443,0.37937537899551055,22972.993441291812,367.14418411553197
29.0,10.835391283035278,0.39530346367462155,23164.130457441144,254.9814621316982
29.5,10.981224298477173,0.40062383417315206,23227.97490342351,241.68792929965275
30.0,11.387453079223633,0.41544412444959256,23405.818386740797,349.8701066220274
30.5,11.780395030975342,0.4297796763916544,23577.845010045537,249.66039578240816
31.0,11.957725524902344,0.4362491574314602,23655.478782523205,242.2366424128595
31.5,12.333710193634033,0.4499660632593925,23820.081652458397,332.06067634982173
32.0,12.716216087341309,0.46392088046061186,23987.539458873027,350.78591580126886
32.5,13.13497281074524,0.4791982229094982,24170.867568259666,291.44087559615946
33.0,13.381923198699951,0.48820762009362495,24278.980334469186,323.7961613049956
33.5,13.874585628509521,0.5061812363515812,24494.66372956466,355.817125518377
34.0,14.19467806816101,0.5178590472201563,24634.797459987563,298.03493131745563
34.5,14.555354833602905,0.5310174806280359,24792.698660882117,269.512704702458
35.0,14.810297012329102,0.5403184392786948,24904.31016469002,221.91452985526848
35.5,15.06225037574768,0.5495103581159748,25014.613190737386,323.8893705136834
36.0,15.550122737884521,0.5673092201548351,25228.199535203705,355.58822541236805
36.5,15.87448239326477,0.5791427102336724,25370.201416149754,273.661819209432
37.0,16.17521905899048,0.5901143717556208,25501.861354413137,328.58678062340186
37.5,16.625037908554077,0.6065249419522893,25698.788196773156,417.5018943035975
38.0,17.128873825073242,0.6249061962809206,25919.363248716734,339.60853470160873
38.5,17.400769233703613,0.6348256531774235,26038.396731474764,314.7143695478917
39.0,17.847742080688477,0.6511323937432452,26234.077618264626,319.6677135654718
39.5,18.13095188140869,0.6614646293078792,26358.064445040236,2300.6978241447396
40.0,23.10297918319702,0.8428572124219733,28534.775442409365,2294.9088329549522
40.5,23.372965812683105,0.8527070320541252,28652.97327799519,349.59966422592333
41.0,23.90153217315674,0.8719905177741336,28884.37510663529,354.8708380760363
41.5,24.18355917930603,0.8822796018937953,29007.844116071225,283.1611214197874
42.0,24.54832673072815,0.8955872778924494,29167.536228055076,-1755.565176207023
42.5,20.17351007461548,0.7359825038765431,27252.2789398642,-1741.1558466886163
43.0,20.57119131088257,0.7504909573350647,27426.38038136646,406.23161712808724
43.5,21.101421356201172,0.7698351386372169,27658.51055699229,289.6892104894687
44.0,21.23289728164673,0.7746317248758539,27716.06959185593,269.4742937407573
44.5,21.716952562332153,0.7922913297822802,27927.984850733046,335.9912241345046
45.0,22.00036597251892,0.8026309935537288,28052.060815990433,336.3485087048866
45.5,22.48523736000061,0.8203203721743537,28264.333359437933,338.9278882851613
46.0,22.774542570114136,0.8308749842441592,28390.988704275595,279.32660103935996
46.5,23.123273134231567,0.8435975889276341,28543.659960477293,309.2461307638332
47.0,23.48092031478882,0.8566454951411453,28700.234835039428,322.6474856704408
47.5,23.860262155532837,0.8704848794001707,28866.307446147734,323.03076026654526
